Feature,XGBoost,DecisionTree,RandomForest,Lasso,Chi2,FEATURE_CODE
DX_T-1 0389: Unspecified septicemia,0.006918187,0.0,0.0005635838165678,0.002995495694168,1.471731746733812,DX_0389
DX_T-1 1560: Malignant neoplasm of gallbladder,0.002515565,0.0044008113638209,0.0007474462114319,0.009086549169698,13.884647814228082,DX_1560
"DX_T-1 1969: Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified",0.0027610708,0.0,0.0008576783665736,0.0073533264131354,20.216420852727445,DX_1969
"DX_T-1 25040: Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",0.0025309988,0.0122267310304561,0.0050146715169716,0.0034192660941962,13.136886281879544,DX_25040
"DX_T-1 2749: Gout, unspecified",0.008116502,0.0,0.0002641038989232,0.0087379383340866,2.549197565779783,DX_2749
DX_T-1 2760: Hyperosmolality and/or hypernatremia,0.0067643933,0.0,0.0001874589792096,0.0012026606982354,1.501085753105066,DX_2760
DX_T-1 28521: Anemia in chronic kidney disease,0.0025221093,0.0010831614671484,0.0038980405678245,0.0047710337469853,14.62902637842921,DX_28521
DX_T-1 28982: Secondary hypercoagulable state,0.0011096576,0.0034686543944514,0.0005912184521076,0.0083911653290317,20.407427490132704,DX_28982
DX_T-1 29411: Dementia in conditions classified elsewhere with behavioral disturbance,0.003298428,0.0015638861396191,0.0004907296409502,0.0151903951123286,19.271173659735645,DX_29411
"DX_T-1 29570: Schizoaffective disorder, unspecified",0.001982703,0.0,0.0003637101415392,0.0078518650147801,2.6540920214676125,DX_29570
"DX_T-1 311: Depressive disorder, not elsewhere classified",0.010684288,0.0003350311493778,0.0005249734383866,0.0075146553819077,2.8180041418734945,DX_0311
DX_T-1 3576: Polyneuropathy due to drugs,0.001409497,0.0,0.0004731583506447,0.0078056312297853,15.483913854488884,DX_3576
DX_T-1 3960: Mitral valve stenosis and aortic valve stenosis,0.010614659,0.0,0.0008485414076759,0.0019193333392562,13.386661425033518,DX_3960
"DX_T-1 40390: Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",0.008337177,0.0011455966169202,0.0003977133097093,0.0030158840407925,1.9583847014671605,DX_40390
"DX_T-1 40391: Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",0.009750302,0.001110335143395,0.0038888720596934,0.0005454356824056,14.673527262639409,DX_40391
DX_T-1 41401: Coronary atherosclerosis of native coronary artery,0.002932159,0.0094851461170138,0.000758349444711,0.0013653204390308,0.4732501252783018,DX_41401
DX_T-1 4241: Aortic valve disorders,0.010067729,0.0118478660915078,0.0056511027745232,0.002449122812685,11.876399490894649,DX_4241
DX_T-1 4263: Other left bundle branch block,0.001342924,0.0,0.0024412333857757,0.0075237215168991,5.400335960686707,DX_4263
"DX_T-1 4280: Congestive heart failure, unspecified",0.010023741,0.0020299539801153,0.0030436699102105,0.0056182824992519,7.45178694137149,DX_4280
DX_T-1 4400: Atherosclerosis of aorta,0.0025263315,0.0033438407839208,0.0015330046111015,0.0075779004862041,6.697093081283426,DX_4400
DX_T-1 46430: Acute epiglottitis without mention of obstruction,0.0040496956,0.0035639464646376,0.0005092647141759,0.012845583558923,21.314795611057217,DX_46430
"DX_T-1 486: Pneumonia, organism unspecified",0.013840624,0.0,0.000595731526154,0.0039277604437609,3.19133500179092,DX_0486
DX_T-1 53081: Esophageal reflux,0.014409636,0.0008347685332821,0.0006215574903664,0.0051442702648189,3.526771249097678,DX_53081
"DX_T-1 53140: Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",0.0031844266,0.0063874330308331,0.0027517135444323,0.0092340807052078,7.077499775897811,DX_53140
"DX_T-1 53240: Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",0.0023193113,0.0,0.0020199918189237,0.007617239573026,6.162925091264795,DX_53240
DX_T-1 56982: Ulceration of intestine,0.0021379562,0.0038097310534765,0.0012880459874618,0.0084307847737418,10.494915331985322,DX_56982
DX_T-1 57149: Other chronic hepatitis,0.004107804,0.0254948391466547,0.0033300583358635,0.0190272400468258,36.07936494421136,DX_57149
DX_T-1 5845: Acute kidney failure with lesion of tubular necrosis,0.00795982,0.0,0.0002003920667586,0.0008565778915718,0.3901605977946444,DX_5845
"DX_T-1 5855: Chronic kidney disease, Stage V",0.0005920082,0.0079609456279042,0.0028632504186586,0.002533917998985,23.289754756832384,DX_5855
DX_T-1 5939: Unspecified disorder of kidney and ureter,0.0064881854,0.0,0.0012042909758766,0.0041099489453821,3.961640778642517,DX_5939
DX_T-1 78552: Septic shock,0.011678556,0.0,0.0006074371028063,0.0071415527123613,3.441931582778724,DX_78552
"DX_T-1 99662: Infection and inflammatory reaction due to other vascular device, implant, and graft",0.0039731795,0.0032202293618905,0.0046155132047577,0.0054744844645801,20.078418317275624,DX_99662
DX_T-1 E927,0.0030072122,0.0029261707657916,0.0004010257635628,0.010182316655943,22.984136555912297,DX_E927
DX_T-1 V1582: Personal history of tobacco use,0.0069600735,0.0005076549903167,0.0003733316511639,0.0031948715936698,1.301208981962727,DX_V1582
DX_T-1 V433: Heart valve replaced by other means,0.009247825,0.0337979150521512,0.0068848395115014,0.0119640417379004,19.69438058825642,DX_V433
"DX_T-1 V8545: Body Mass Index 70 and over, adult",0.0016727656,0.0,0.0006173044973401,0.0109635931199507,26.957165072581716,DX_V8545
"DX_T-2 40391: Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",0.019838255,0.0021400517563479,0.0059363101335571,0.0001692004716658,32.16850659056667,DX_40391
"DX_T-2 42840: Combined systolic and diastolic heart failure, unspecified",0.0024656244,0.0057458086361167,0.0010689387229704,0.0136312538466498,14.76744391350372,DX_42840
DX_T-2 4412: Thoracic aneurysm without mention of rupture,0.0019964518,0.008875200706134,0.003009702953668,0.0054333886617731,10.01594369083729,DX_4412
DX_T-2 5793: Other and unspecified postsurgical nonabsorption,0.0006062314,0.0155488556572266,0.0030989331547405,0.0022177737101052,25.17349645768721,DX_5793
"DX_T-2 5849: Acute kidney failure, unspecified",0.008900619,0.0,0.0006660913173624,0.0070547194597803,2.120647547574802,DX_5849
DX_T-2 7856: Enlargement of lymph nodes,0.0037473547,0.0124977948163949,0.0039925612223245,0.0137076472107182,19.1467919742288,DX_7856
"DX_T-2 99662: Infection and inflammatory reaction due to other vascular device, implant, and graft",0.0014391245,0.0008868471601177,0.0047302046121473,0.0020796330568387,22.167422830964867,DX_99662
DX_T-2 E9320: Adrenal cortical steroids causing adverse effects in therapeutic use,0.0009930165,0.0129980127353151,0.0034576420255456,0.0029803311903085,14.006797904920353,DX_E9320
DX_T-3 3941: Rheumatic mitral insufficiency,0.0,0.0014634003961398,0.0,0.0,33.16616222760291,DX_3941
"DX_T-3 40391: Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",0.007581061,0.0795870081615579,0.0087887941457189,0.0043700237048225,51.8997327493895,DX_40391
DX_T-3 5793: Other and unspecified postsurgical nonabsorption,0.0,0.0,0.0031645830588223,0.0,42.69483007872196,DX_5793
DX_T-3 5856: End stage renal disease,1.0017567e-05,0.0,0.0053808175151613,0.0,31.29998571044806,DX_5856
DX_T-3 70714: Ulcer of heel and midfoot,0.0028405301,0.0118157369175057,0.0027385203938312,0.004164977780001,19.359724418926355,DX_70714
"DX_T-3 99662: Infection and inflammatory reaction due to other vascular device, implant, and graft",0.00030136053,0.0031233826237287,0.0044107314761739,0.0007072522579784,29.53045627399952,DX_99662
